uid,likes,comments,followers
B-A-bW9l1Gm,601,43,6715
B-A4q2_HbZM,10465,67,478848
B-A67qNleZJ,269,2,1730
B-AaOGUhKbv,9070,164,223818
B-ACyP7JemN,3398,32,124287
B-Ar4y3hXX2,1208,33,17787
B-ASlahg9zU,162,2,3022
B-B8_genQ5d,1120,16,1675
B-BLgewFUOI,751,10,6516
B-C_bHslo-m,188,11,11321
B-C_ds9DGxO,825,14,11596
B-C_enWjDWB,4045,97,371934
B-C_m60qOuL,622,29,44189
B-C_QAwJUrq,297,30,6802
B-C_uopAtqP,184,10,2194
B-C_zFbBGvF,230,4,1396
B-C_zNcFYag,295,21,67187
B-C-aF_hXgb,675,13,8598
B-C-LdajPRJ,545,21,36487
B-C-PMEHlPE,140,5,1663
B-C-VrjF7Q4,606,15,19505
B-C14F9JAf6,199,10,4360
B-C1chPAqKP,172,2,217353
B-C1p1NB_Xg,1182,44,77955
B-C1xaIHl8_,299,12,8917
B-C1ZlPKUUq,145,2,9532
B-C2-EChFKs,894,13,27937
B-C3HkFpgu_,1925,67,86409
B-C3l3PoFnO,682,5,7767
B-C3TwmABpi,127,15,812
B-C5AXzgSvO,525,54,24647
B-C5hllJ8gs,457,71,4490
B-C640ipW5d,502,12,78256
B-C64y9nf_K,1406,7,1225
B-C6Ai_FoGN,5549,47,357777
B-C6mtalb0j,352,97,6070
B-C7-xyFBf7,1102,17,82046
B-C7nt5ooGx,364,23,2788
B-C7RtrJTXP,2082,51,82463
B-C8btel5ws,242,2,106323
B-C8H70BTT7,259,36,3457
B-C8NHeHWPt,1083,7,921281
B-C8tjRlqOh,918,7,3643
B-C8VTxJQdJ,537,7,5873
B-C9dm8qa3B,409,56,6480
B-C9ivBJt70,397,19,33530
B-C9urlITmW,194,19,2555
B-CaBWvB1OZ,5662,39,122213
B-CaHtghbbC,668,12,14671
B-CAsrnDxtf,20389,633,442689
B-CATSrq45S,272,60,1192
B-Cb1q_hGsk,3546,27,167233
B-CboFKHYlX,9393,143,286737
B-Ccv2tCC4z,386,2,741
B-CcwUnpYL2,2283,17,27766
B-CFfY9A2uC,647,5,13740
B-CiHXkFR0b,326,5,16101
B-CiPcgplqL,1039,34,41034
B-Cjv6TBVui,612,13,82252
B-CjVsygjj6,2047,19,331403
B-Cl00gA3Kb,2166,13,144637
B-CL21ajSyW,112,7,501
B-CNhPdpZHU,497,3,92813
B-COH6PBWVj,3529,24,85653
B-CosAwHCaB,15798,193,428796
B-CphMEB0ul,552,6,7102
B-CPT9fAoYK,1243,14,20577
B-CqaU6hFBh,3599,42,40185
B-CRmhVBOX0,3184,15,94797
B-Cro_ABW1Y,459,12,1991
B-CrznsHx32,29226,239,1051561
B-CS3ZrgLlr,856,21,1626
B-CsaSOhu2X,5673,69,202606
B-CSfscpxRK,678,16,11112
B-CSg1upGsg,523,22,11112
B-CSha0JEan,731,20,11112
B-Ctg2ChGUe,169,20,2090
B-CvK2Cldjw,11644,230,22273
B-CvmpLjnFA,1808,95,11165
B-CvUIDFXTW,137,4,2384
B-Cw11LBNmb,338,14,3436
B-Cw5rvHTo_,356,20,7363
B-CwDC9nkyv,262,6,2307
B-CwS2OBuJE,221,10,6795
B-Cy8n4puNY,4034,73,244412
B-CyTRPpTE9,446,12,3030
B-CYW_pBYMu,7033,31,143987
B-CyWdupX7-,291,9,3030
B-CyXoUJ77E,1928,39,184531
B-D6YZSFxkx,503,2,5124
B-D9ApYBvYT,891,82,16693
B-DA3SmACx1,860,15,27254
B-DAN10FuoV,138,0,771
B-DB7ZWAeS-,196,2,2802
B-DBLXFArIp,160,12,4183
B-DBm4BgkWL,533,26,14633
B-DBOe6nHdI,897,21,12724
B-DBrljgRtP,775,4,34581
B-DBvDWANr0,233,1,2802
B-DBxVgDicy,366,15,11586
B-DCHrRBbJV,467,20,4027
B-DCydpD64P,236,26,1295
B-DCZLDnose,229,10,1356
B-DD3hfA-2R,295,31,673
B-DDcJoCZyK,244,2,3123
B-DDf5JJItZ,1108,16,343192
B-DDKgjHAmI,315,24,8611
B-DDLzPAWof,117,4,3747
B-DDXecIVCf,217,15,2567
B-DEdB1olyk,182,0,4279
B-DEQ_YA9Pp,243,7,8801
B-DET--Hi22,471,19,9348
B-DEUCqh_op,122,39,2775
